H3,s1,s2,angle,velocity ratio prob 0 to prob 1,velocity ratio prob 0 to prob 2,velocity ratio prob 0 to prob 3,velocity ratio prob 1 to prob 0,velocity ratio prob 1 to prob 2,velocity ratio prob 1 to prob 3,velocity ratio prob 2 to prob 0,velocity ratio prob 2 to prob 1,velocity ratio prob 2 to prob 3,velocity ratio prob 3 to prob 0,velocity ratio prob 3 to prob 1,velocity ratio prob 3 to prob 2
6.0,0.01,0.25,10.0,1.180919567144458,0.9971894640209025,inf,0.8467977225731524,0.8444177671068428,inf,1.002818457354899,1.1842479385840203,inf,0.0,0.0,0.0
6.0,0.01,0.25,20.0,1.1746312386340676,1.0092958989532168,inf,0.8513310110523372,0.8592448981068196,inf,0.9907897188893189,1.1638125547248603,inf,0.0,0.0,0.0
6.0,0.01,0.25,30.0,1.1639784489351936,1.031268587605502,inf,0.8591224355698329,0.8859859807103007,inf,0.9696794918595314,1.1286860308989242,inf,0.0,0.0,0.0
6.0,0.01,0.25,40.0,1.1502208624808785,1.0630649235119378,inf,0.8693982456926824,0.9242267795587045,inf,0.940676319839811,1.0819855279214863,inf,0.0,0.0,0.0
6.0,0.01,0.25,50.0,1.1331527871812233,1.1053010354841715,inf,0.8824935271858195,0.9754210094065651,inf,0.9047308994530663,1.025198340364217,inf,0.0,0.0,0.0
6.0,0.01,0.25,60.0,1.1125373551668094,1.1558769325743752,inf,0.8988462233252958,1.0389556154733048,inf,0.8651440060948311,0.9625050243791615,inf,0.0,0.0,0.0
6.0,0.01,0.25,70.0,1.1270711888358949,1.2303620498481416,inf,0.8872554013494557,1.091645374343152,inf,0.812768891988684,0.916048401342519,inf,0.0,0.0,0.0
6.0,0.01,0.25,80.0,1.1178877473193054,1.2840775334101548,inf,0.8945441994493631,1.1486641091552998,inf,0.7787691739643451,0.870576517564718,inf,0.0,0.0,0.0
6.0,0.01,0.25,89.0,1.477079914327835,1.7551354299218322,inf,0.6770114401393532,1.1882467650509825,inf,0.5697566027964786,0.841576034046341,inf,0.0,0.0,0.0
6.0,0.01,0.25,0.0,1.1817840892044602,0.9934497204747026,inf,0.8461782563625209,0.8406355522551175,inf,1.0065934685875875,1.1895761454739404,inf,0.0,0.0,0.0
6.0,0.01,0.25,10.0,1.180919567144458,0.9971894640209025,inf,0.8467977225731524,0.8444177671068428,inf,1.002818457354899,1.1842479385840203,inf,0.0,0.0,0.0
6.0,0.01,0.25,20.0,1.1746312386340676,1.0092958989532168,inf,0.8513310110523372,0.8592448981068196,inf,0.9907897188893189,1.1638125547248603,inf,0.0,0.0,0.0
6.0,0.01,0.25,30.0,1.1639784489351936,1.031268587605502,inf,0.8591224355698329,0.8859859807103007,inf,0.9696794918595314,1.1286860308989242,inf,0.0,0.0,0.0
6.0,0.01,0.25,40.0,1.1502208624808785,1.0630649235119378,inf,0.8693982456926824,0.9242267795587045,inf,0.940676319839811,1.0819855279214863,inf,0.0,0.0,0.0
6.0,0.01,0.25,50.0,1.1331527871812233,1.1053010354841715,inf,0.8824935271858195,0.9754210094065651,inf,0.9047308994530663,1.025198340364217,inf,0.0,0.0,0.0
6.0,0.01,0.25,60.0,1.1125373551668094,1.1558769325743752,inf,0.8988462233252958,1.0389556154733048,inf,0.8651440060948311,0.9625050243791615,inf,0.0,0.0,0.0
6.0,0.01,0.25,70.0,1.1270711888358949,1.2303620498481416,inf,0.8872554013494557,1.091645374343152,inf,0.812768891988684,0.916048401342519,inf,0.0,0.0,0.0
6.0,0.01,0.25,80.0,1.1178877473193054,1.2840775334101548,inf,0.8945441994493631,1.1486641091552998,inf,0.7787691739643451,0.870576517564718,inf,0.0,0.0,0.0
